Date,Time,Sell,Buy,Spread,Low,Change,High,Change %,Sell (Bid Price),Buy (Offer Price),Low Price,Change in Points,High Price,Change Percentage
2024-10-24,04:25:58,1.07822,1.07847,2.5,1.07788,0.000095,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:26:48,1.07823,1.07858,3.5,1.07788,0.000155,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:29:51,1.07828,1.07853,2.5,1.07788,0.000155,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:30:11,1.07828,1.07853,2.5,1.07788,0.000155,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:32:21,1.07824,1.07855,3.1,1.07788,0.000145,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:32:32,1.07824,1.07854,3.0,1.07788,0.00014,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:32:45,1.07824,1.07854,3.0,1.07788,0.00014,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:32:57,1.07824,1.07854,3.0,1.07788,0.00014,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:33:09,1.07824,1.07852,2.8,1.07788,0.00013,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:33:20,1.07824,1.07852,2.8,1.07788,0.00013,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:33:32,1.07824,1.07852,2.8,1.07788,0.00013,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:33:45,1.07823,1.07857,3.4,1.07788,0.00015,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:33:56,1.07823,1.07857,3.4,1.07788,0.00015,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:34:08,1.07822,1.07857,3.5,1.07788,0.000145,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:34:20,1.07822,1.07857,3.5,1.07788,0.000145,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:34:45,1.07827,1.07858,3.1,1.07788,0.000175,1.07873,0.02%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:34:57,1.07822,1.07855,3.3,1.07788,0.000135,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:35:07,1.07822,1.07853,3.1,1.07788,0.000125,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:40:50,1.07823,1.07838,1.5,1.07788,0.000055,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:41:10,1.07823,1.07838,1.5,1.07788,0.000055,1.07873,0.01%,1.0782,1.07855,1.07788,0.000125,1.07873,0.01%
2024-10-24,04:41:29,1.07825,1.07835,1.0,1.07788,0.00005,1.07873,0.00%,1.07825,1.07852,1.07788,0.000135,1.07873,0.01%
2024-10-24,04:41:48,1.07825,1.07835,1.0,1.07788,0.00005,1.07873,0.00%,1.07825,1.07852,1.07788,0.000135,1.07873,0.01%
2024-10-24,04:42:10,1.07826,1.07836,1.0,1.07788,0.00006,1.07873,0.01%,1.07825,1.07852,1.07788,0.000135,1.07873,0.01%
2024-10-24,04:42:29,1.07819,1.07836,1.7,1.07788,0.000025,1.07873,0.00%,1.07825,1.07852,1.07788,0.000135,1.07873,0.01%
2024-10-24,16:37:57,1.08015,1.08026,1.1,1.07699,0.001955,1.08089,0.18%,1.08001,1.08011,1.07699,0.00181,1.08089,0.17%
2024-10-24,16:38:23,1.08015,1.08026,1.1,1.07699,0.001955,1.08089,0.18%,1.08001,1.08011,1.07699,0.00181,1.08089,0.17%
2024-10-24,16:38:46,1.08014,1.08026,1.2,1.07699,0.00195,1.08089,0.18%,1.08001,1.08011,1.07699,0.00181,1.08089,0.17%
2024-10-24,16:39:15,1.08015,1.08025,1.0,1.07699,0.00195,1.08089,0.18%,1.08001,1.08011,1.07699,0.00181,1.08089,0.17%
2024-10-26,18:56:03,1.07941,1.07965,2.4,1.07925,-0.003235,1.084,-0.30%,1.07941,1.07965,1.07925,-0.003235,1.084,-0.30%
2024-10-26,18:57:09,1.07941,1.07965,2.4,1.07925,-0.003235,1.084,-0.30%,1.07941,1.07965,1.07925,-0.003235,1.084,-0.30%
