Date,Time,bid_price,ask_price
2024-10-31,19:51:49,1.08733,1.08744
2024-10-31,19:52:06,1.08733,1.08744
2024-10-31,19:52:25,1.08733,1.08744
2024-10-31,19:52:42,1.08733,1.08744
2024-10-31,19:53:01,1.08733,1.08744
2024-10-31,19:53:19,1.08733,1.08744
2024-10-31,19:53:34,1.08733,1.08744
2024-10-31,19:53:52,1.08733,1.08744
2024-10-31,19:54:14,1.08733,1.08744
2024-10-31,19:54:30,1.08733,1.08744
2024-10-31,19:54:49,1.08733,1.08744
2024-10-31,19:55:05,1.08733,1.08744
2024-10-31,19:55:23,1.08733,1.08744
2024-10-31,19:55:38,1.08733,1.08744
2024-10-31,19:55:56,1.08733,1.08744
2024-10-31,19:56:13,1.08733,1.08744
2024-10-31,19:56:29,1.08733,1.08744
2024-10-31,19:56:45,1.08733,1.08744
2024-10-31,19:57:03,1.08733,1.08744
2024-10-31,19:57:19,1.08733,1.08744
2024-10-31,19:57:37,1.08733,1.08744
2024-10-31,19:57:57,1.08733,1.08744
2024-10-31,19:58:13,1.08733,1.08744
2024-10-31,20:04:12,1.08783,1.08798
2024-10-31,20:05:26,1.08783,1.08798
2024-10-31,20:06:38,1.08783,1.08798
2024-10-31,20:07:51,1.08783,1.08798
2024-10-31,20:09:04,1.08783,1.08798
2024-10-31,20:10:16,1.08783,1.08798
2024-10-31,20:11:27,1.08783,1.08798
2024-10-31,20:12:38,1.08783,1.08798
2024-10-31,20:13:50,1.08783,1.08798
2024-10-31,20:14:35,1.08783,1.08798
2024-10-31,20:15:51,1.08783,1.08798
2024-10-31,20:17:04,1.08783,1.08798
2024-10-31,20:18:16,1.08783,1.08798
2024-10-31,20:19:29,1.08783,1.08798
2024-10-31,20:20:43,1.08783,1.08798
2024-10-31,20:21:57,1.08783,1.08798
2024-10-31,20:23:11,1.08783,1.08798
2024-10-31,20:24:24,1.08783,1.08798
2024-10-31,20:25:38,1.08783,1.08798
2024-10-31,20:26:53,1.08783,1.08798
2024-10-31,20:28:09,1.08783,1.08798
2024-10-31,20:29:22,1.08783,1.08798
2024-10-31,20:30:37,1.0878,1.08794
2024-10-31,20:31:52,1.0878,1.08794
2024-10-31,20:33:07,1.0878,1.08794
2024-10-31,20:34:22,1.0878,1.08794
2024-10-31,20:35:35,1.0878,1.08794
2024-10-31,20:36:48,1.0878,1.08794
2024-10-31,20:38:01,1.0878,1.08794
2024-10-31,20:39:13,1.0878,1.08794
2024-10-31,20:40:25,1.0878,1.08794
2024-10-31,20:41:38,1.0878,1.08794
2024-10-31,20:42:52,1.0878,1.08794
