Date,Time,BO,BH,BL,BC,BCh,AO,AH,AL
2024-10-31,19:58:13,1.08733,1.08733,1.08733,1.08733,0.0,1.08744,1.08744,1.08744
2024-10-31,20:13:50,1.08783,1.08783,1.08783,1.08783,0.0,1.08798,1.08798,1.08798
2024-10-31,20:23:11,1.08783,1.08783,1.08783,1.08783,0.0,1.08798,1.08798,1.08798
2024-10-31,20:33:07,1.08783,1.08783,1.0878,1.0878,-2.999999999997449e-05,1.08798,1.08798,1.08794
2024-10-31,20:42:52,1.0878,1.0878,1.0878,1.0878,0.0,1.08794,1.08794,1.08794
2024-10-31,20:53:46,1.0878,1.0878,1.0878,1.0878,0.0,1.08794,1.08794,1.08794
2024-10-31,21:03:29,1.0878,1.0878,1.0858,1.0858,-0.0020000000000000018,1.08794,1.08794,1.08593
2024-10-31,21:13:22,1.0858,1.0858,1.0858,1.0858,0.0,1.08593,1.08593,1.08593
2024-10-31,21:23:09,1.0858,1.0858,1.0858,1.0858,0.0,1.08593,1.08593,1.08593
2024-10-31,21:33:05,1.0858,1.08692,1.0858,1.08692,0.0011200000000000099,1.08593,1.08705,1.08593
2024-10-31,21:43:00,1.08692,1.08692,1.08692,1.08692,0.0,1.08705,1.08705,1.08705
2024-10-31,21:52:52,1.08692,1.08692,1.08692,1.08692,0.0,1.08705,1.08705,1.08705
2024-10-31,22:03:54,1.08692,1.08692,1.08666,1.08666,-0.000260000000000149,1.08705,1.08705,1.08678
2024-10-31,22:13:53,1.08666,1.08666,1.08666,1.08666,0.0,1.08678,1.08678,1.08678
2024-10-31,22:23:38,1.08666,1.08666,1.08666,1.08666,0.0,1.08678,1.08678,1.08678
2024-10-31,22:33:32,1.08666,1.08666,1.08526,1.08526,-0.0014000000000000679,1.08678,1.08678,1.08538
2024-10-31,22:43:17,1.08526,1.08526,1.08526,1.08526,0.0,1.08538,1.08538,1.08538
2024-10-31,22:53:06,1.08526,1.08526,1.08526,1.08526,0.0,1.08538,1.08538,1.08538
2024-10-31,23:02:57,1.08526,1.08537,1.08526,1.08537,0.0001100000000000545,1.08538,1.08552,1.08538
2024-10-31,23:12:48,1.08537,1.08537,1.08537,1.08537,0.0,1.08552,1.08552,1.08552
2024-10-31,23:23:48,1.08537,1.08537,1.08537,1.08537,0.0,1.08552,1.08552,1.08552
2024-10-31,23:33:37,1.08537,1.08579,1.08537,1.08579,0.00042000000000008697,1.08552,1.0859,1.08552
2024-10-31,23:43:22,1.08579,1.08579,1.08579,1.08579,0.0,1.0859,1.0859,1.0859
2024-10-31,23:53:07,1.08579,1.08579,1.08579,1.08579,0.0,1.0859,1.0859,1.0859
2024-11-01,00:02:54,1.08579,1.08581,1.08579,1.08581,1.999999999990898e-05,1.0859,1.08595,1.0859
2024-11-01,00:13:43,1.08581,1.08581,1.08581,1.08581,0.0,1.08595,1.08595,1.08595
2024-11-01,00:23:28,1.08581,1.08581,1.08581,1.08581,0.0,1.08595,1.08595,1.08595
2024-11-01,00:33:11,1.08581,1.08582,1.08581,1.08582,1.0000000000065512e-05,1.08595,1.08595,1.08593
2024-11-01,00:42:58,1.08582,1.08582,1.08582,1.08582,0.0,1.08593,1.08593,1.08593
2024-11-01,00:53:53,1.08582,1.08582,1.08582,1.08582,0.0,1.08593,1.08593,1.08593
2024-11-01,01:03:38,1.08582,1.08602,1.08582,1.08602,0.00019999999999997797,1.08593,1.08616,1.08593
2024-11-01,01:13:20,1.08602,1.08602,1.08602,1.08602,0.0,1.08616,1.08616,1.08616
2024-11-01,01:23:06,1.08602,1.08602,1.08602,1.08602,0.0,1.08616,1.08616,1.08616
2024-11-01,01:34:02,1.08602,1.0867,1.08602,1.0867,0.0006800000000000139,1.08616,1.08686,1.08616
2024-11-01,01:43:45,1.0867,1.0867,1.0867,1.0867,0.0,1.08686,1.08686,1.08686
2024-11-01,01:53:27,1.0867,1.0867,1.0867,1.0867,0.0,1.08686,1.08686,1.08686
2024-11-01,02:03:12,1.0867,1.08709,1.0867,1.08709,0.00038999999999989043,1.08686,1.08722,1.08686
2024-11-01,02:14:06,1.08709,1.08709,1.08709,1.08709,0.0,1.08722,1.08722,1.08722
2024-11-01,02:23:50,1.08709,1.08709,1.08709,1.08709,0.0,1.08722,1.08722,1.08722
2024-11-01,02:33:30,1.08709,1.08709,1.08709,1.08709,0.0,1.08722,1.08722,1.08722
2024-11-01,02:43:14,1.08709,1.08709,1.08709,1.08709,0.0,1.08722,1.08722,1.08722
2024-11-01,02:54:06,1.08709,1.08709,1.08709,1.08709,0.0,1.08722,1.08722,1.08722
2024-11-01,03:03:44,1.08709,1.08709,1.08709,1.08709,0.0,1.08722,1.08722,1.08722
